C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DESKTOP\EFFORT\PATIENT 10\ACQ_3.7\EFFORT10_SBT_AND_POSTEXTUBATION_OLD.ACQ
5.000000 msec/sample
5 channels
Paw
cmH2O
Peso
cmH2O
Pgas
cmH2O
Flow
L/s
PL
cmH2O
CH1	CH2	CH3	CH4	CH40	
-0.935788	14.8591	13.9648	0.428138	-15.7949	
-1.06557	14.866	13.9648	0.437543	-15.9316	
-0.997262	14.7219	13.9513	0.446948	-15.7192	
-1.1407	14.667	13.9446	0.45604	-15.8078	
-1.05191	14.5641	13.9985	0.465445	-15.6161	
-1.1407	14.4407	14.0187	0.474536	-15.5814	
-0.983601	14.324	13.9648	0.483941	-15.3076	
-0.922127	14.2554	13.9782	0.490838	-15.1776	
-1.07923	14.1457	14.0658	0.496481	-15.2249	
-1.05874	14.0428	14.0523	0.500243	-15.1015	
-1.08606	13.9879	14.086	0.502751	-15.0739	
-1.02458	13.8507	14.0523	0.504632	-14.8753	
-0.956279	13.8301	14.0658	0.505886	-14.7864	
-1.03141	13.7752	14.0523	0.504946	-14.8066	
-1.09289	13.6655	14.086	0.504319	-14.7584	
-1.04508	13.638	14.113	0.502124	-14.6831	
-1.05874	13.5694	14.1264	0.499616	-14.6282	
-1.10655	13.542	14.1197	0.497108	-14.6485	
-1.03825	13.4665	14.1264	0.494914	-14.5048	
-1.10655	13.4528	14.1466	0.493973	-14.5593	
-0.983601	13.4254	14.1332	0.492719	-14.409	
-1.19535	13.3911	14.1668	0.4946	-14.5864	
-1.08606	13.4048	14.1736	0.495854	-14.4908	
-1.28414	13.3225	14.2072	0.498989	-14.6066	
-1.18169	13.3362	14.2746	0.501184	-14.5179	
-1.18852	13.3019	14.2409	0.504632	-14.4904	
-1.21584	13.247	14.2207	0.507767	-14.4628	
-1.3866	13.2676	14.187	0.511216	-14.6542	
-1.3183	13.247	14.2544	0.516232	-14.5653	
-1.24999	13.2264	14.2275	0.523756	-14.4764	
-1.43441	13.2196	14.2679	0.53222	-14.654	
-1.40709	13.2264	14.3015	0.541312	-14.6335	
-1.25682	13.2744	14.3083	0.551344	-14.5313	
-1.37977	13.2676	14.2813	0.562003	-14.6473	
-1.33196	13.2676	14.3352	0.573289	-14.5995	
-1.56419	13.3225	14.3218	0.580499	-14.8866	
-1.37977	13.3362	14.3554	0.586142	-14.7159	
-1.45491	13.3842	14.3352	0.591472	-14.8391	
-1.4754	13.3842	14.3824	0.596174	-14.8596	
-1.32513	13.4185	14.4026	0.603385	-14.7436	
-1.37977	13.494	14.416	0.609968	-14.8737	
-1.37977	13.5214	14.4363	0.615611	-14.9012	
-1.59152	13.5694	14.4363	0.620627	-15.1609	
-1.49589	13.638	14.4969	0.623762	-15.1339	
-1.41392	13.7341	14.4901	0.62627	-15.148	
-1.36611	13.7752	14.4767	0.627838	-15.1413	
-1.46857	13.8781	14.5575	0.629719	-15.3467	
-1.57102	13.9742	14.5642	0.630346	-15.5452	
-1.59835	14.0428	14.544	0.629092	-15.6411	
-1.51638	14.1045	14.5642	0.625957	-15.6209	
-1.48223	14.2349	14.6114	0.621881	-15.7171	
-1.65982	14.3172	14.6248	0.618433	-15.977	
-1.65982	14.3721	14.5642	0.616238	-16.0319	
-1.57102	14.4544	14.7057	0.617806	-16.0254	
-1.5437	14.5367	14.6114	0.618746	-16.0804	
-1.55736	14.5916	14.6653	0.621254	-16.1489	
-1.40709	14.6602	14.7259	0.624389	-16.0673	
-1.48906	14.7288	14.7124	0.628465	-16.2178	
-1.6325	14.7905	14.7663	0.634421	-16.423	
-1.68031	14.866	14.7663	0.637556	-16.5463	
-1.57102	14.9072	14.8134	0.641318	-16.4782	
-1.61201	15.0032	14.8202	0.64414	-16.6152	
-1.60518	15.0444	14.8269	0.647275	-16.6495	
-1.6325	15.0375	14.8606	0.649783	-16.67	
-1.5437	15.1541	14.9145	0.652291	-16.6978	
-1.69397	15.1198	14.8808	0.65668	-16.8138	
-1.62567	15.0924	14.9953	0.661696	-16.718	
-1.6325	15.0306	14.9145	0.66922	-16.6631	
-1.59152	14.9826	14.9347	0.675803	-16.5741	
-1.65299	14.8454	14.9886	0.682073	-16.4984	
-1.42758	14.6945	14.9684	0.684895	-16.1221	
-1.56419	14.6053	15.002	0.687089	-16.1695	
-1.57102	14.5093	15.0222	0.686462	-16.0803	
-1.41392	14.4269	15.0155	0.681446	-15.8409	
-1.33196	14.3378	15.0492	0.673922	-15.6697	
-1.5437	14.1663	15.1233	0.664204	-15.71	
-1.52321	14.0428	15.1031	0.652918	-15.566	
-1.44124	13.885	15.1839	0.641005	-15.3262	
-1.4754	13.7821	15.1367	0.629719	-15.2575	
-1.45491	13.6998	15.1772	0.618746	-15.1547	
-1.46174	13.5077	15.231	0.610282	-14.9694	
-1.40026	13.3568	15.258	0.602444	-14.757	
-1.44124	13.2744	15.2782	0.597742	-14.7157	
-1.48906	13.1372	15.3253	0.59398	-14.6263	
-1.57785	13.0755	15.3792	0.590845	-14.6533	
-1.48223	12.9246	15.3927	0.588964	-14.4068	
-1.45491	12.8697	15.4062	0.590845	-14.3246	
-1.2978	12.7668	15.4802	0.595234	-14.0646	
-1.24316	12.6707	15.487	0.60025	-13.9139	
-1.41392	12.5816	15.5476	0.604952	-13.9955	
-1.59152	12.513	15.588	0.608714	-14.1045	
-1.46857	12.4787	15.588	0.611536	-13.9472	
-1.35928	12.362	15.6419	0.613103	-13.7213	
-1.2978	12.3415	15.6756	0.617179	-13.6393	
-1.30463	12.3003	15.7092	0.618746	-13.6049	
-1.35245	12.2591	15.7833	0.618433	-13.6116	
-1.42075	12.2042	15.7564	0.61373	-13.625	
-1.39343	12.1219	15.844	0.607147	-13.5154	
-1.32513	12.0876	15.8372	0.601504	-13.4127	
